timestamp,mid_price,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,spread,total_bid_volume,total_ask_volume,volume_imbalance,market_buy_pressure,market_sell_pressure,time_index,minute_of_day,price_change,price_volatility,price_momentum,bid_size_change_1,ask_size_change_1,bid_size_change_2,ask_size_change_2,bid_size_change_3,ask_size_change_3,bid_size_change_4,ask_size_change_4,bid_size_change_5,ask_size_change_5,spread_change,relative_spread,depth_imbalance,microprice
2024-01-15 09:30:00,160.0,160.0,1331,159.99,706,159.98,310,159.97,937,159.96,387,160.0,1217,160.01,865,160.02,346,160.03,653,160.04,343,0.008,3671,3424,247,1.6998976096655187,0.6020609719350464,0,570,0.07947426448180295,0.0718473813476451,0.001006301831484091,277.0,-366.0,760.0,-104.0,201.0,255.0,-664.0,-369.0,-133.0,-23.0,0.0029,5e-05,0.03481324876673714,160.0
2024-01-15 09:30:10,160.0794742644818,160.07,1608,160.06,1466,160.05,511,160.04,273,160.03,254,160.08,851,160.09,761,160.1,601,160.11,284,160.12,320,0.0109,4112,2817,1295,0.8104982991156207,1.2701189397289663,1,570,0.07947426448180295,0.0718473813476451,0.001006301831484091,277.0,-366.0,760.0,-104.0,201.0,255.0,-664.0,-369.0,-133.0,-23.0,0.0029,6.809117814811862e-05,0.18689565593880791,160.07653924359497
2024-01-15 09:30:20,160.05734098784077,160.05,2918,160.04,350,160.03,614,160.02,294,160.01,360,160.06,1725,160.07,582,160.08,738,160.09,586,160.1,127,0.0084,4536,3758,778,0.46368565054729705,4.394063891516504,2,570,-0.022133276641028488,0.0718473813476451,0.001006301831484091,1310.0,874.0,-1116.0,-179.0,103.0,137.0,21.0,302.0,106.0,-193.0,-0.0025000000000000005,5.248119172889502e-05,0.09380274897516276,160.05628472970065
2024-01-15 09:30:30,160.16100829303747,160.16,637,160.15,688,160.14,782,160.13,879,160.12,257,160.16,1714,160.17,603,160.18,425,160.19,589,160.2,449,0.0072,3243,3780,-537,2.434555939523599,0.23656089895002455,3,570,0.10366730519669431,0.06675225592039301,0.001006301831484091,-2281.0,-11.0,338.0,21.0,168.0,-313.0,585.0,3.0,-103.0,322.0,-0.0011999999999999997,4.495476194072511e-05,-0.0764630499786416,160.16
2024-01-15 09:30:40,160.40493829050018,160.4,454,160.39,1225,160.38,683,160.37,463,160.36,230,160.41,1175,160.42,532,160.43,203,160.44,369,160.45,299,0.0107,3055,2578,477,0.7232298691011181,0.44508995917780786,4,570,0.2439299974627147,0.10963734111514148,0.002033140273066225,-183.0,-539.0,537.0,-71.0,-99.0,-222.0,-416.0,-220.0,-27.0,-150.0,0.0034999999999999996,6.670617572023775e-05,0.08467956683827445,160.4027869858809
2024-01-15 09:30:50,160.3673789328772,160.36,1700,160.35,513,160.34,264,160.33,198,160.32,579,160.37,791,160.38,732,160.39,452,160.4,481,160.41,336,0.0106,3254,2792,462,0.41098507980516663,1.7654098841221575,5,570,-0.037559357622996004,0.11343725551968402,0.0019370429567486802,1246.0,-384.0,-712.0,200.0,-419.0,249.0,-265.0,112.0,349.0,37.0,-9.99999999999994e-05,6.609823064101272e-05,0.07641415812107179,160.36682456844642
2024-01-15 09:31:00,160.32983100277994,160.33,526,160.32,851,160.31,231,160.3,249,160.29,420,160.33,1527,160.34,1134,160.35,850,160.36,362,160.37,388,0.0096,2277,4261,-1984,2.0270106265290027,0.23047185037057355,6,571,-0.03754793009724722,0.12351466398889276,0.0010540812120363174,-1174.0,736.0,338.0,402.0,-33.0,398.0,51.0,-119.0,-159.0,52.0,-0.0010000000000000009,5.987656782245062e-05,-0.3034567145916182,160.33
2024-01-15 09:31:10,160.58302592660766,160.58,1914,160.57,593,160.56,454,160.55,545,160.54,332,160.59,1442,160.6,591,160.61,482,160.62,139,160.63,512,0.0077,3838,3166,672,0.6064922690920095,0.7248360686977711,7,571,0.2531949238277207,0.14309790766412403,0.0011102378642791066,1388.0,-85.0,-258.0,-543.0,223.0,-368.0,296.0,-223.0,-88.0,124.0,-0.001899999999999999,4.795027342129661e-05,0.09594517418617933,160.5857032181168
2024-01-15 09:31:20,160.70626291761621,160.7,1189,160.69,398,160.68,567,160.67,237,160.66,447,160.71,1148,160.72,444,160.73,792,160.74,349,160.75,426,0.0099,2838,3159,-321,1.8208708615976457,2.893432387380273,8,571,0.12323699100855379,0.1433151251105982,0.00211317280979495,-725.0,-294.0,-195.0,-147.0,113.0,310.0,-308.0,210.0,115.0,-86.0,0.0022000000000000006,6.160307520233419e-05,-0.053526763381690844,160.70508771929823
2024-01-15 09:31:30,160.63081544351706,160.63,632,160.62,2047,160.61,450,160.6,419,160.59,548,160.64,1738,160.65,1114,160.66,637,160.67,213,160.68,733,0.0111,4096,4435,-339,0.11271306878269605,1.0724923184658566,9,571,-0.07544747409914976,0.13928729437887277,0.0018772828415936083,-557.0,590.0,1649.0,670.0,-117.0,-155.0,182.0,-136.0,101.0,307.0,0.0011999999999999997,6.910255650107881e-05,-0.03973742820302426,160.63266666666667
2024-01-15 09:31:40,160.71796730574536,160.71,563,160.7,1017,160.69,408,160.68,449,160.67,664,160.72,1326,160.73,735,160.74,199,160.75,237,160.76,547,0.013,3101,3044,57,1.436683368820512,1.5985654764477755,10,571,0.0871518622282963,0.13172907752209315,0.0008403215617531767,-69.0,-412.0,-1030.0,-379.0,-42.0,-438.0,30.0,24.0,116.0,-186.0,0.001899999999999999,8.088703595453746e-05,0.009275834011391376,160.7129804129169
2024-01-15 09:31:50,160.64348775614303,160.64,1329,160.63,571,160.62,493,160.61,347,160.6,326,160.65,578,160.66,299,160.67,1028,160.68,248,160.69,197,0.0096,3066,2350,716,0.2712106487319779,0.4672104005506762,11,571,-0.07447954960233005,0.1400481036694896,-0.0003906205043506805,766.0,-748.0,-446.0,-436.0,85.0,829.0,-102.0,11.0,-338.0,-350.0,-0.0034000000000000002,5.9759658695737537e-05,0.13220088626292467,160.64696906135293
2024-01-15 09:32:00,160.56867130417768,160.56,340,160.55,670,160.54,326,160.53,653,160.52,697,160.57,324,160.58,437,160.59,477,160.6,665,160.61,258,0.0084,2686,2161,525,0.41740788141079765,0.4783513648988052,12,572,-0.07481645196534714,0.09947187812049164,-0.0003868755765684684,-989.0,-254.0,99.0,138.0,-167.0,-551.0,306.0,417.0,371.0,61.0,-0.0011999999999999997,5.231406557563915e-05,0.10831442129152052,160.5651204819277
2024-01-15 09:32:10,160.60752286462878,160.6,990,160.59,1026,160.58,1569,160.57,757,160.56,429,160.61,1346,160.62,943,160.63,677,160.64,436,160.65,341,0.0094,4771,3743,1028,0.06215990193872064,2.724728923000118,13,572,0.03885156045109284,0.0774467516558044,-0.0006871941138135718,650.0,1022.0,356.0,506.0,1243.0,200.0,104.0,-229.0,-268.0,83.0,0.0010000000000000009,5.852776901317989e-05,0.12074230678881842,160.60423801369862
