timestamp,mid_price,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,spread,total_bid_volume,total_ask_volume,volume_imbalance,market_buy_pressure,market_sell_pressure
2024-01-15 09:30:00,160.0,159.99,500,159.98,236,159.97,742,159.96,384,159.95,345,160.01,834,160.02,546,160.03,368,160.04,277,160.05,267,0.0109,2207,2292,-85,0.33560584821544653,0.190402433662887
2024-01-15 09:30:10,160.0794742644818,160.07,813,160.06,630,160.05,305,160.04,433,160.03,316,160.09,887,160.1,391,160.11,347,160.12,552,160.13,416,0.0124,2497,2593,-96,2.6503850949599554,0.8136504219047422
2024-01-15 09:30:20,160.05734098784077,160.05,613,160.04,981,160.03,316,160.02,285,160.01,196,160.06,1150,160.07,156,160.08,368,160.09,325,160.1,151,0.0104,2391,2150,241,0.8704530682924436,0.1676647527706798
2024-01-15 09:30:30,160.16100829303747,160.16,1490,160.15,444,160.14,474,160.13,246,160.12,267,160.17,1653,160.18,461,160.19,703,160.2,215,160.21,422,0.0099,2921,3454,-533,0.6378566440452718,0.5307578135053778
2024-01-15 09:30:40,160.40493829050018,160.4,2056,160.39,670,160.38,484,160.37,483,160.36,714,160.41,941,160.42,651,160.43,344,160.44,508,160.45,276,0.0091,4407,2720,1687,1.6851032825640087,1.094213639015969
2024-01-15 09:30:50,160.3673789328772,160.36,852,160.35,951,160.34,393,160.33,690,160.32,264,160.37,108,160.38,371,160.39,181,160.4,317,160.41,327,0.0101,3150,1556,1594,0.26424253099706524,2.2983398495505836
2024-01-15 09:31:00,160.32983100277994,160.33,2312,160.32,961,160.31,486,160.3,243,160.29,374,160.33,1086,160.34,818,160.35,299,160.36,310,160.37,418,0.0093,4376,2931,1445,0.7624138580490282,2.2433033305364454
2024-01-15 09:31:10,160.58302592660766,160.58,1865,160.57,489,160.56,303,160.55,573,160.54,211,160.59,1036,160.6,484,160.61,588,160.62,447,160.63,544,0.0117,3441,3099,342,0.11724388509877734,1.8737439572116876
2024-01-15 09:31:20,160.70626291761621,160.7,774,160.69,1171,160.68,371,160.67,306,160.66,245,160.71,1619,160.72,1001,160.73,926,160.74,627,160.75,143,0.0078,2867,4316,-1449,0.4241831937932634,0.20040127451653184
2024-01-15 09:31:30,160.63081544351706,160.62,1150,160.61,252,160.6,979,160.59,525,160.58,315,160.64,1150,160.65,350,160.66,1574,160.67,404,160.68,342,0.0125,3221,3820,-599,1.1928707405259582,2.5574693578456262
2024-01-15 09:31:40,160.71796730574536,160.68,1437,160.7,697,160.69,262,160.68,193,160.67,832,160.77,1096,160.73,647,160.74,443,160.75,559,160.76,1153,0.0112,3421,3898,-477,0.5091648434090136,0.056318149243293786
2024-01-15 09:31:50,160.64348775614303,160.64,1299,160.63,371,160.62,202,160.61,571,160.6,336,160.65,524,160.66,322,160.67,391,160.68,872,160.69,284,0.009,2779,2393,386,0.15181992193138705,0.19405450320809675
2024-01-15 09:32:00,160.56867130417768,160.56,471,160.55,920,160.54,428,160.53,650,160.52,128,160.57,601,160.58,797,160.59,310,160.6,349,160.61,324,0.01,2597,2381,216,0.9048193240889457,0.06943205082825417
2024-01-15 09:32:10,160.60752286462878,160.6,1082,160.59,679,160.58,431,160.57,284,160.56,246,160.61,983,160.62,469,160.63,324,160.64,399,160.65,285,0.0115,2722,2460,262,0.7431576545925969,0.5811814717875803
2024-01-15 09:32:20,160.30023566398845,160.3,2121,160.29,341,160.28,513,160.27,438,160.26,285,160.3,927,160.31,801,160.32,702,160.33,195,160.34,270,0.0094,3698,2895,803,0.16978360329951062,1.2586832598530455
2024-01-15 09:32:30,160.02373092893558,160.02,965,160.01,883,160.0,263,159.99,291,159.98,413,160.03,542,160.04,879,160.05,410,160.06,314,160.07,462,0.011,2815,2607,208,1.7732509999755643,0.5061424894750884
2024-01-15 09:32:40,159.93375158065163,159.93,1248,159.92,443,159.91,290,159.9,164,159.89,783,159.94,537,159.95,409,159.96,894,159.97,157,159.98,473,0.011,2928,2470,458,0.5266360392798112,0.8030673665148444
2024-01-15 09:32:50,159.77176569985892,159.77,493,159.76,684,159.75,441,159.74,288,159.73,395,159.78,981,159.79,1068,159.8,490,159.81,408,159.82,270,0.0096,2301,3217,-916,0.3129005477764867,0.7800877556797963
2024-01-15 09:33:00,159.82197355105413,159.82,971,159.81,450,159.8,376,159.79,198,159.78,340,159.83,442,159.84,811,159.85,1263,159.86,542,159.87,256,0.0108,2335,3314,-979,0.011056729631697196,0.14720807068739053
2024-01-15 09:33:10,159.67685135127246,159.67,1301,159.66,699,159.65,757,159.64,871,159.63,538,159.68,398,159.69,324,159.7,339,159.71,383,159.72,419,0.0124,4166,1863,2303,0.0864282756718436,0.9242022189851156
2024-01-15 09:33:20,159.4513391430915,159.45,695,159.44,287,159.43,310,159.42,741,159.41,208,159.46,1332,159.47,256,159.48,1312,159.49,325,159.5,339,0.0085,2241,3564,-1323,0.2419956132440473,0.031679678824257845
2024-01-15 09:33:30,159.68503880200947,159.68,1093,159.67,461,159.66,492,159.65,1362,159.64,308,159.69,1776,159.7,433,159.71,455,159.72,918,159.73,236,0.0086,3716,3818,-102,0.2828962537585316,1.7098236985711959
2024-01-15 09:33:40,159.6489857047057,159.64,2474,159.63,357,159.62,737,159.61,156,159.6,574,159.65,517,159.66,549,159.67,789,159.68,402,159.69,487,0.0118,4298,2744,1554,1.0752377151704027,1.1785538361415322
2024-01-15 09:33:50,159.6597665140906,159.65,1362,159.64,594,159.63,201,159.62,469,159.61,359,159.67,1145,159.68,325,159.69,269,159.7,641,159.71,317,0.0121,2985,2697,288,1.9808107067353582,1.8614272732990789
2024-01-15 09:34:00,159.43229155133838,159.43,1406,159.42,304,159.41,595,159.4,225,159.39,614,159.44,877,159.45,658,159.46,569,159.47,144,159.48,234,0.0089,3144,2482,662,0.9832090864021626,2.17136165872427
2024-01-15 09:34:10,159.34549936608636,159.34,1685,159.33,641,159.32,789,159.31,292,159.3,655,159.35,3156,159.36,513,159.37,370,159.38,783,159.39,714,0.0107,4062,5536,-1474,0.2728291200595943,0.11706666958066148
2024-01-15 09:34:20,159.36317438153466,159.36,769,159.35,372,159.34,274,159.33,144,159.32,177,159.37,585,159.38,865,159.39,426,159.4,250,159.41,1028,0.0091,1736,3154,-1418,0.18276238925679855,4.729444686092813
2024-01-15 09:34:30,159.17974839134388,159.18,717,159.17,668,159.16,592,159.15,437,159.14,1106,159.18,726,159.19,472,159.2,339,159.21,287,159.22,235,0.0084,3520,2059,1461,0.05958300833276848,3.4770842165267744
2024-01-15 09:34:40,159.23955190737527,159.23,1812,159.22,153,159.21,257,159.2,564,159.19,547,159.25,1187,159.26,509,159.27,325,159.28,266,159.29,1053,0.0123,3690,3340,350,0.8677058455294674,0.09594590297101374
2024-01-15 09:34:50,159.14390647153436,159.14,1598,159.13,453,159.12,381,159.11,437,159.1,383,159.15,1389,159.16,1681,159.17,424,159.18,254,159.19,162,0.0123,3252,3910,-658,1.2852555799970684,0.6849324839176536
2024-01-15 09:35:00,159.09748518869893,159.09,693,159.08,871,159.07,272,159.06,100,159.05,209,159.1,1827,159.11,730,159.12,898,159.13,215,159.14,142,0.0075,2145,3812,-1667,2.1089114354403584,1.5966501337527326
2024-01-15 09:35:10,159.00175517987182,159.0,1260,158.99,927,158.98,597,158.97,645,158.96,581,159.01,1995,159.02,851,159.03,426,159.04,407,159.05,592,0.011,4010,4271,-261,0.17525843472956318,1.7035674221585724
2024-01-15 09:35:20,159.29627066229014,159.29,664,159.28,549,159.27,464,159.26,570,159.25,153,159.3,1012,159.31,643,159.32,675,159.33,192,159.34,684,0.012,2400,3206,-806,0.11314701729582906,1.4314084807364829
2024-01-15 09:35:30,159.2941206047251,159.29,1112,159.28,586,159.27,532,159.26,513,159.25,355,159.3,799,159.31,678,159.32,792,159.33,226,159.34,346,0.0102,3098,2841,257,0.4244691315113612,0.9699961904748348
2024-01-15 09:35:40,159.12563347244307,159.12,704,159.11,739,159.1,356,159.09,354,159.08,117,159.13,1442,159.14,1056,159.15,197,159.16,309,159.17,175,0.0073,2270,3179,-909,1.5838167006373083,1.1831322380365739
